t=2026-07-19T22:07:06+0700 lvl=info msg="no configuration paths supplied"
t=2026-07-19T22:07:06+0700 lvl=info msg="using configuration at default config path" path=/home/ali-juelon/.config/ngrok/ngrok.yml
t=2026-07-19T22:07:06+0700 lvl=info msg="open config file" path=/home/ali-juelon/.config/ngrok/ngrok.yml err=nil
t=2026-07-19T22:07:06+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-19T22:07:06+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-19T22:07:07+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-07-19T22:07:07+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-07-19T22:07:08+0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:8001 url=https://unpoeticised-neil-ogreishly.ngrok-free.dev
t=2026-07-19T22:07:08+0700 lvl=info msg=start pg=/api/tunnels id=72b7c76d219a08e1
t=2026-07-19T22:07:08+0700 lvl=info msg=end pg=/api/tunnels id=72b7c76d219a08e1 status=200 dur=414.877µs
t=2026-07-19T22:07:08+0700 lvl=info msg="update available" obj=updater
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=231a53dcfd97 l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=9736c17aa6af l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=30e3fa15dcfa l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=22985a315181 l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=e246e70d78c4 l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=8ce24613b50c l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=dd2ec3d9c6ab l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:30+0700 lvl=info msg="join connections" obj=join id=35efa22ee30c l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:32+0700 lvl=info msg="join connections" obj=join id=324c8e3197f7 l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:32+0700 lvl=info msg="join connections" obj=join id=75858fa8e738 l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:32+0700 lvl=info msg="join connections" obj=join id=00b9cceccec8 l=127.0.0.1:8001 r=180.241.244.242:59118
t=2026-07-19T22:07:41+0700 lvl=info msg="join connections" obj=join id=df9491231ab9 l=127.0.0.1:8001 r=180.241.244.242:47660
t=2026-07-19T22:07:41+0700 lvl=info msg="join connections" obj=join id=50ea763875da l=127.0.0.1:8001 r=180.241.244.242:47660
